zipcode,city,state,latitude,longitude,timezone,dst
1254,"Richmond","MA",42.37,-73.36,-5,1
1255,"Sandisfield","MA",42.09,-73.12,-5,1
1256,"Savoy","MA",42.59,-73.01,-5,1
1257,"Sheffield","MA",42.1,-73.37,-5,1
1258,"South Egremont","MA",42.1,-73.46,-5,1
1259,"Southfield","MA",42.06,-73.25,-5,1
1260,"South Lee","MA",42.29,-73.31,-5,1
1262,"Stockbridge","MA",42.28,-73.31,-5,1
1263,"Stockbridge","MA",42.39,-73.23,-5,1
1264,"Tyringham","MA",42.22,-73.2,-5,1
1266,"West Stockbridge","MA",42.33,-73.36,-5,1
1267,"Williamstown","MA",42.69,-73.22,-5,1
1270,"Windsor","MA",42.44,-73.12,-5,1
1301,"Greenfield","MA",42.61,-72.6,-5,1
1302,"Greenfield","MA",42.52,-72.62,-5,1
1330,"Ashfield","MA",42.52,-72.81,-5,1
1331,"Athol","MA",42.58,-72.21,-5,1
1337,"Bernardston","MA",42.68,-72.56,-5,1
1338,"Buckland","MA",42.57,-72.8,-5,1
1339,"Charlemont","MA",42.63,-72.88,-5,1
1340,"Colrain","MA",42.67,-72.73,-5,1
1341,"Conway","MA",42.51,-72.7,-5,1
1342,"Deerfield","MA",42.54,-72.61,-5,1
1343,"Drury","MA",42.64,-72.99,-5,1
1344,"Erving","MA",42.61,-72.41,-5,1
1346,"Heath","MA",42.67,-72.8,-5,1
1347,"Lake Pleasant","MA",42.56,-72.52,-5,1
1349,"Turners Falls","MA",42.57,-72.51,-5,1
1350,"Monroe Bridge","MA",42.71,-72.98,-5,1
1351,"Montague","MA",42.53,-72.53,-5,1
1354,"Northfield","MA",42.52,-72.62,-5,1
1355,"New Salem","MA",42.49,-72.33,-5,1
1360,"Northfield","MA",42.68,-72.46,-5,1
1364,"Orange","MA",42.6,-72.29,-5,1
1366,"Petersham","MA",42.47,-72.21,-5,1
1367,"Rowe","MA",42.69,-72.91,-5,1
1368,"Royalston","MA",42.67,-72.17,-5,1
1369,"Shattuckville","MA",42.52,-72.62,-5,1
1370,"Shelburne Falls","MA",42.6,-72.73,-5,1
1373,"South Deerfield","MA",42.47,-72.62,-5,1
1374,"Charlemont","MA",42.64,-72.8,-5,1
1375,"Sunderland","MA",42.45,-72.56,-5,1
1376,"Turners Falls","MA",42.61,-72.54,-5,1
1378,"Warwick","MA",42.67,-72.33,-5,1
1379,"Wendell","MA",42.55,-72.42,-5,1
1380,"Wendell Depot","MA",42.59,-72.36,-5,1
1393,"Whately","MA",42.46,-72.59,-5,1
1420,"Fitchburg","MA",42.58,-71.8,-5,1
1427,"Westborough","MA",42.29,-71.59,-5,1
1430,"Ashburnham","MA",42.66,-71.93,-5,1
